Asthma and the Environment,neighborhood,% reported
Asthma and the Environment,Greenpoint,NA
Asthma and the Environment,Downtown - Heights - Slope,1.1
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,2
Asthma and the Environment,East New York,6.4
Asthma and the Environment,Sunset Park,0.7
Asthma and the Environment,Borough Park,3.1
Asthma and the Environment,East Flatbush - Flatbush,3.1
Asthma and the Environment,Canarsie - Flatlands,NA
Asthma and the Environment,Bensonhurst - Bay Ridge,2.1
Asthma and the Environment,Coney Island - Sheepshead Bay,3.2
Asthma and the Environment,Williamsburg - Bushwick,6.3
Asthma and the Environment,Washington Heights,5.2
Asthma and the Environment,Central Harlem - Morningside Heights,4.1
Asthma and the Environment,East Harlem,8.7
Asthma and the Environment,Upper West Side,4.3
Asthma and the Environment,Upper East Side,2.8
Asthma and the Environment,Chelsea - Clinton,4
Asthma and the Environment,Gramercy Park - Murray Hill,2.8
Asthma and the Environment,Greenwich Village - SoHo,4
Asthma and the Environment,Union Square - Lower East Side,3.8
Asthma and the Environment,Lower Manhattan,3.8
Asthma and the Environment,Long Island City - Astoria,3.1
Asthma and the Environment,West Queens,2.3
Asthma and the Environment,Flushing - Clearview,1.9
Asthma and the Environment,Bayside - Little Neck,NA
Asthma and the Environment,Ridgewood - Forest Hills,4.7
Asthma and the Environment,Fresh Meadows,NA
Asthma and the Environment,Southwest Queens,4
Asthma and the Environment,Jamaica,3.2
Asthma and the Environment,Southeast Queens,0.8
Asthma and the Environment,Rockaways,7.6
Asthma and the Environment,Port Richmond,3.3
Asthma and the Environment,Stapleton - St. George,3.3
Asthma and the Environment,Willowbrook,6.2
Asthma and the Environment,South Beach - Tottenville,6.2
Asthma and the Environment,Kingsbridge - Riverdale,NA
Asthma and the Environment,Northeast Bronx,8
Asthma and the Environment,Fordham - Bronx Pk,7.9
Asthma and the Environment,Pelham - Throgs Neck,6.1
Asthma and the Environment,Crotona -Tremont,9.9
Asthma and the Environment,High Bridge - Morrisania,9.9
Asthma and the Environment,Hunts Point - Mott Haven,9.9
Asthma and the Environment,Greenpoint,5.2
Asthma and the Environment,Downtown - Heights - Slope,3.6
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,8.3
Asthma and the Environment,East New York,9.2
Asthma and the Environment,Sunset Park,3.6
Asthma and the Environment,Borough Park,2.8
Asthma and the Environment,East Flatbush - Flatbush,5
Asthma and the Environment,Canarsie - Flatlands,5.2
Asthma and the Environment,Bensonhurst - Bay Ridge,2.7
Asthma and the Environment,Coney Island - Sheepshead Bay,6.3
Asthma and the Environment,Williamsburg - Bushwick,6
Asthma and the Environment,Washington Heights,8.3
Asthma and the Environment,Central Harlem - Morningside Heights,6.2
Asthma and the Environment,East Harlem,7.3
Asthma and the Environment,Upper West Side,4
Asthma and the Environment,Upper East Side,5.7
Asthma and the Environment,Chelsea - Clinton,6.4
Asthma and the Environment,Gramercy Park - Murray Hill,5.7
Asthma and the Environment,Greenwich Village - SoHo,6.4
Asthma and the Environment,Union Square - Lower East Side,6.1
Asthma and the Environment,Lower Manhattan,6.1
Asthma and the Environment,Long Island City - Astoria,7.6
Asthma and the Environment,West Queens,4.4
Asthma and the Environment,Flushing - Clearview,5
Asthma and the Environment,Bayside - Little Neck,7
Asthma and the Environment,Ridgewood - Forest Hills,5.9
Asthma and the Environment,Fresh Meadows,7
Asthma and the Environment,Southwest Queens,6.8
Asthma and the Environment,Jamaica,5.1
Asthma and the Environment,Southeast Queens,NA
Asthma and the Environment,Rockaways,NA
Asthma and the Environment,Port Richmond,6.7
Asthma and the Environment,Stapleton - St. George,6.7
Asthma and the Environment,Willowbrook,4.6
Asthma and the Environment,South Beach - Tottenville,4.6
Asthma and the Environment,Kingsbridge - Riverdale,7.9
Asthma and the Environment,Northeast Bronx,5
Asthma and the Environment,Fordham - Bronx Pk,1.6
Asthma and the Environment,Pelham - Throgs Neck,6.3
Asthma and the Environment,Crotona -Tremont,8.4
Asthma and the Environment,High Bridge - Morrisania,8.4
Asthma and the Environment,Hunts Point - Mott Haven,8.4
Asthma and the Environment,Greenpoint,NA
Asthma and the Environment,Downtown - Heights - Slope,2.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,5.7
