Asthma and the Environment,neighborhood,% reported
Asthma and the Environment,Port Richmond,122.5
Asthma and the Environment,Stapleton - St. George,83.2
Asthma and the Environment,Willowbrook,36.5
Asthma and the Environment,South Beach - Tottenville,35.2
Asthma and the Environment,Kingsbridge - Riverdale,80.3
Asthma and the Environment,Northeast Bronx,140.7
Asthma and the Environment,Fordham - Bronx Pk,189.3
Asthma and the Environment,Pelham - Throgs Neck,155.1
Asthma and the Environment,Crotona -Tremont,313.7
Asthma and the Environment,High Bridge - Morrisania,287.5
Asthma and the Environment,Hunts Point - Mott Haven,349.1
Asthma and the Environment,Greenpoint,64.9
Asthma and the Environment,Downtown - Heights - Slope,100.1
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,199.8
Asthma and the Environment,East New York,191.2
Asthma and the Environment,Sunset Park,78.9
Asthma and the Environment,Borough Park,25.5
Asthma and the Environment,East Flatbush - Flatbush,114.8
Asthma and the Environment,Canarsie - Flatlands,79.9
Asthma and the Environment,Bensonhurst - Bay Ridge,22.2
Asthma and the Environment,Coney Island - Sheepshead Bay,46.2
Asthma and the Environment,Williamsburg - Bushwick,225.5
Asthma and the Environment,Washington Heights,104.9
Asthma and the Environment,Central Harlem - Morningside Heights,322.6
Asthma and the Environment,East Harlem,370.4
Asthma and the Environment,Upper West Side,66.6
Asthma and the Environment,Upper East Side,25.5
Asthma and the Environment,Chelsea - Clinton,57.6
Asthma and the Environment,Gramercy Park - Murray Hill,45.4
Asthma and the Environment,Greenwich Village - SoHo,23.5
Asthma and the Environment,Union Square - Lower East Side,82.9
Asthma and the Environment,Lower Manhattan,49.9
Asthma and the Environment,Long Island City - Astoria,59.4
Asthma and the Environment,West Queens,39.6
Asthma and the Environment,Flushing - Clearview,26
Asthma and the Environment,Bayside - Little Neck,17.1
Asthma and the Environment,Ridgewood - Forest Hills,39.5
Asthma and the Environment,Fresh Meadows,47.7
Asthma and the Environment,Southwest Queens,61.9
Asthma and the Environment,Jamaica,82.7
Asthma and the Environment,Southeast Queens,63.7
Asthma and the Environment,Rockaways,117.3
Asthma and the Environment,Port Richmond,149.5
Asthma and the Environment,Stapleton - St. George,104.7
Asthma and the Environment,Willowbrook,38.9
Asthma and the Environment,South Beach - Tottenville,35.2
Asthma and the Environment,Kingsbridge - Riverdale,79.4
Asthma and the Environment,Northeast Bronx,121.5
Asthma and the Environment,Fordham - Bronx Pk,191.8
Asthma and the Environment,Pelham - Throgs Neck,154.2
Asthma and the Environment,Crotona -Tremont,297.2
Asthma and the Environment,High Bridge - Morrisania,267.4
Asthma and the Environment,Hunts Point - Mott Haven,340.8
Asthma and the Environment,Greenpoint,62.2
Asthma and the Environment,Downtown - Heights - Slope,87.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,202.2
Asthma and the Environment,East New York,190.3
Asthma and the Environment,Sunset Park,81.2
Asthma and the Environment,Borough Park,28.6
Asthma and the Environment,East Flatbush - Flatbush,117.8
Asthma and the Environment,Canarsie - Flatlands,86.4
Asthma and the Environment,Bensonhurst - Bay Ridge,26.9
Asthma and the Environment,Coney Island - Sheepshead Bay,48.3
Asthma and the Environment,Williamsburg - Bushwick,220.1
Asthma and the Environment,Washington Heights,100
Asthma and the Environment,Central Harlem - Morningside Heights,310.4
Asthma and the Environment,East Harlem,376.3
Asthma and the Environment,Upper West Side,61.2
Asthma and the Environment,Upper East Side,22.4
Asthma and the Environment,Chelsea - Clinton,59.8
Asthma and the Environment,Gramercy Park - Murray Hill,45.5
Asthma and the Environment,Greenwich Village - SoHo,21.1
Asthma and the Environment,Union Square - Lower East Side,91.7
Asthma and the Environment,Lower Manhattan,54.5
Asthma and the Environment,Long Island City - Astoria,58.7
Asthma and the Environment,West Queens,40.5
Asthma and the Environment,Flushing - Clearview,23.4
Asthma and the Environment,Bayside - Little Neck,23.2
Asthma and the Environment,Ridgewood - Forest Hills,38.3
Asthma and the Environment,Fresh Meadows,49.2
Asthma and the Environment,Southwest Queens,70.1
Asthma and the Environment,Jamaica,102
Asthma and the Environment,Southeast Queens,70.5
Asthma and the Environment,Rockaways,110.4
Asthma and the Environment,Port Richmond,160.9
Asthma and the Environment,Stapleton - St. George,116.1
Asthma and the Environment,Willowbrook,47.9
Asthma and the Environment,South Beach - Tottenville,36.3
Asthma and the Environment,Kingsbridge - Riverdale,74.4
Asthma and the Environment,Northeast Bronx,92.9
Asthma and the Environment,Fordham - Bronx Pk,170.2
Asthma and the Environment,Pelham - Throgs Neck,142
Asthma and the Environment,Crotona -Tremont,308
Asthma and the Environment,High Bridge - Morrisania,271
Asthma and the Environment,Hunts Point - Mott Haven,307.1
Asthma and the Environment,Greenpoint,68.2
Asthma and the Environment,Downtown - Heights - Slope,93.9
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,221.9
Asthma and the Environment,East New York,202
Asthma and the Environment,Sunset Park,85.4
Asthma and the Environment,Borough Park,28.9
Asthma and the Environment,East Flatbush - Flatbush,129.8
Asthma and the Environment,Canarsie - Flatlands,97.1
Asthma and the Environment,Bensonhurst - Bay Ridge,27.5
Asthma and the Environment,Coney Island - Sheepshead Bay,51.4
Asthma and the Environment,Williamsburg - Bushwick,245.8
Asthma and the Environment,Washington Heights,94
Asthma and the Environment,Central Harlem - Morningside Heights,284.5
Asthma and the Environment,East Harlem,299
Asthma and the Environment,Upper West Side,59.3
Asthma and the Environment,Upper East Side,21.9
Asthma and the Environment,Chelsea - Clinton,53.7
Asthma and the Environment,Gramercy Park - Murray Hill,49.4
Asthma and the Environment,Greenwich Village - SoHo,16.7
Asthma and the Environment,Union Square - Lower East Side,80
Asthma and the Environment,Lower Manhattan,67.6
Asthma and the Environment,Long Island City - Astoria,60.1
Asthma and the Environment,West Queens,36.4
Asthma and the Environment,Flushing - Clearview,23.9
Asthma and the Environment,Bayside - Little Neck,18.3
Asthma and the Environment,Ridgewood - Forest Hills,39.9
Asthma and the Environment,Fresh Meadows,43.7
Asthma and the Environment,Southwest Queens,69.6
Asthma and the Environment,Jamaica,106.5
Asthma and the Environment,Southeast Queens,73.5
Asthma and the Environment,Rockaways,117.1
Asthma and the Environment,Port Richmond,142.7
Asthma and the Environment,Stapleton - St. George,113.1
Asthma and the Environment,Willowbrook,49.2
Asthma and the Environment,South Beach - Tottenville,38.6
Asthma and the Environment,Kingsbridge - Riverdale,67.3
Asthma and the Environment,Northeast Bronx,89.2
Asthma and the Environment,Fordham - Bronx Pk,168.4
Asthma and the Environment,Pelham - Throgs Neck,136.4
Asthma and the Environment,Crotona -Tremont,301.3
Asthma and the Environment,High Bridge - Morrisania,262.8
Asthma and the Environment,Hunts Point - Mott Haven,297.3
Asthma and the Environment,Greenpoint,76.3
Asthma and the Environment,Downtown - Heights - Slope,100.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,217.2
Asthma and the Environment,East New York,212.2
Asthma and the Environment,Sunset Park,80.1
Asthma and the Environment,Borough Park,36
Asthma and the Environment,East Flatbush - Flatbush,146.1
Asthma and the Environment,Canarsie - Flatlands,104.2
Asthma and the Environment,Bensonhurst - Bay Ridge,26.4
Asthma and the Environment,Coney Island - Sheepshead Bay,57.2
Asthma and the Environment,Williamsburg - Bushwick,246.3
Asthma and the Environment,Washington Heights,95.4
Asthma and the Environment,Central Harlem - Morningside Heights,261.1
Asthma and the Environment,East Harlem,317.7
Asthma and the Environment,Upper West Side,55.7
Asthma and the Environment,Upper East Side,26.7
Asthma and the Environment,Chelsea - Clinton,58.8
Asthma and the Environment,Gramercy Park - Murray Hill,54.7
Asthma and the Environment,Greenwich Village - SoHo,22.2
Asthma and the Environment,Union Square - Lower East Side,104.3
Asthma and the Environment,Lower Manhattan,55.1
Asthma and the Environment,Long Island City - Astoria,69
Asthma and the Environment,West Queens,40.3
Asthma and the Environment,Flushing - Clearview,29.8
Asthma and the Environment,Bayside - Little Neck,17.4
Asthma and the Environment,Ridgewood - Forest Hills,39.9
Asthma and the Environment,Fresh Meadows,47.4
Asthma and the Environment,Southwest Queens,68
Asthma and the Environment,Jamaica,99.4
Asthma and the Environment,Southeast Queens,69
Asthma and the Environment,Rockaways,124.4
Asthma and the Environment,Port Richmond,156.1
Asthma and the Environment,Stapleton - St. George,115.2
Asthma and the Environment,Willowbrook,41.5
Asthma and the Environment,South Beach - Tottenville,39.6
Asthma and the Environment,Kingsbridge - Riverdale,73.6
Asthma and the Environment,Northeast Bronx,137.6
Asthma and the Environment,Fordham - Bronx Pk,199.4
Asthma and the Environment,Pelham - Throgs Neck,162.3
Asthma and the Environment,Crotona -Tremont,296.3
Asthma and the Environment,High Bridge - Morrisania,289.1
Asthma and the Environment,Hunts Point - Mott Haven,323.8
Asthma and the Environment,Greenpoint,80.8
Asthma and the Environment,Downtown - Heights - Slope,96.6
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,239.6
Asthma and the Environment,East New York,229.2
Asthma and the Environment,Sunset Park,89.8
Asthma and the Environment,Borough Park,38.9
Asthma and the Environment,East Flatbush - Flatbush,146.6
Asthma and the Environment,Canarsie - Flatlands,104
Asthma and the Environment,Bensonhurst - Bay Ridge,32.7
Asthma and the Environment,Coney Island - Sheepshead Bay,60.5
Asthma and the Environment,Williamsburg - Bushwick,274
Asthma and the Environment,Washington Heights,98.2
Asthma and the Environment,Central Harlem - Morningside Heights,279.9
Asthma and the Environment,East Harlem,327.1
Asthma and the Environment,Upper West Side,61.9
Asthma and the Environment,Upper East Side,21.5
Asthma and the Environment,Chelsea - Clinton,61.8
Asthma and the Environment,Gramercy Park - Murray Hill,52.1
Asthma and the Environment,Greenwich Village - SoHo,19.8
Asthma and the Environment,Union Square - Lower East Side,111
Asthma and the Environment,Lower Manhattan,61.7
Asthma and the Environment,Long Island City - Astoria,69.2
Asthma and the Environment,West Queens,43
Asthma and the Environment,Flushing - Clearview,30.1
Asthma and the Environment,Bayside - Little Neck,22.6
Asthma and the Environment,Ridgewood - Forest Hills,41.5
Asthma and the Environment,Fresh Meadows,54.9
Asthma and the Environment,Southwest Queens,73
Asthma and the Environment,Jamaica,105.3
Asthma and the Environment,Southeast Queens,67.2
Asthma and the Environment,Rockaways,132.1
Asthma and the Environment,Port Richmond,174.7
Asthma and the Environment,Stapleton - St. George,126
Asthma and the Environment,Willowbrook,41.5
Asthma and the Environment,South Beach - Tottenville,45.9
Asthma and the Environment,Kingsbridge - Riverdale,76.2
Asthma and the Environment,Northeast Bronx,166.5
Asthma and the Environment,Fordham - Bronx Pk,221.5
Asthma and the Environment,Pelham - Throgs Neck,164.7
Asthma and the Environment,Crotona -Tremont,281.8
Asthma and the Environment,High Bridge - Morrisania,285.3
Asthma and the Environment,Hunts Point - Mott Haven,324.5
Asthma and the Environment,Greenpoint,82.2
Asthma and the Environment,Downtown - Heights - Slope,87.8
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,232.4
Asthma and the Environment,East New York,229.1
Asthma and the Environment,Sunset Park,83.3
Asthma and the Environment,Borough Park,31
Asthma and the Environment,East Flatbush - Flatbush,139.9
Asthma and the Environment,Canarsie - Flatlands,93.9
Asthma and the Environment,Bensonhurst - Bay Ridge,30.1
Asthma and the Environment,Coney Island - Sheepshead Bay,57.9
Asthma and the Environment,Williamsburg - Bushwick,256.9
Asthma and the Environment,Washington Heights,93.5
Asthma and the Environment,Central Harlem - Morningside Heights,267.3
Asthma and the Environment,East Harlem,319.8
Asthma and the Environment,Upper West Side,57.6
Asthma and the Environment,Upper East Side,21.9
Asthma and the Environment,Chelsea - Clinton,59.1
Asthma and the Environment,Gramercy Park - Murray Hill,53.6
Asthma and the Environment,Greenwich Village - SoHo,12.6
Asthma and the Environment,Union Square - Lower East Side,87.7
Asthma and the Environment,Lower Manhattan,51.9
Asthma and the Environment,Long Island City - Astoria,68.7
Asthma and the Environment,West Queens,42
Asthma and the Environment,Flushing - Clearview,29.9
Asthma and the Environment,Bayside - Little Neck,19.3
Asthma and the Environment,Ridgewood - Forest Hills,40.3
Asthma and the Environment,Fresh Meadows,51.7
Asthma and the Environment,Southwest Queens,63.5
Asthma and the Environment,Jamaica,103.1
Asthma and the Environment,Southeast Queens,60.6
Asthma and the Environment,Rockaways,106
Asthma and the Environment,Port Richmond,137.9
Asthma and the Environment,Stapleton - St. George,110.9
Asthma and the Environment,Willowbrook,44.2
Asthma and the Environment,South Beach - Tottenville,35.8
Asthma and the Environment,Kingsbridge - Riverdale,74.6
Asthma and the Environment,Northeast Bronx,170.7
Asthma and the Environment,Fordham - Bronx Pk,216.1
Asthma and the Environment,Pelham - Throgs Neck,163.3
Asthma and the Environment,Crotona -Tremont,285.9
Asthma and the Environment,High Bridge - Morrisania,279.3
Asthma and the Environment,Hunts Point - Mott Haven,337.7
Asthma and the Environment,Greenpoint,73.5
Asthma and the Environment,Downtown - Heights - Slope,81.6
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,235.4
Asthma and the Environment,East New York,243.1
Asthma and the Environment,Sunset Park,65
Asthma and the Environment,Borough Park,34.3
Asthma and the Environment,East Flatbush - Flatbush,125.9
Asthma and the Environment,Canarsie - Flatlands,99.8
Asthma and the Environment,Bensonhurst - Bay Ridge,29
Asthma and the Environment,Coney Island - Sheepshead Bay,58.9
Asthma and the Environment,Williamsburg - Bushwick,247
Asthma and the Environment,Washington Heights,100.8
Asthma and the Environment,Central Harlem - Morningside Heights,267.8
Asthma and the Environment,East Harlem,339.7
Asthma and the Environment,Upper West Side,61.6
Asthma and the Environment,Upper East Side,25.9
Asthma and the Environment,Chelsea - Clinton,62.5
Asthma and the Environment,Gramercy Park - Murray Hill,56.5
Asthma and the Environment,Greenwich Village - SoHo,15.5
Asthma and the Environment,Union Square - Lower East Side,90.3
Asthma and the Environment,Lower Manhattan,62.6
Asthma and the Environment,Long Island City - Astoria,62.1
Asthma and the Environment,West Queens,41.8
Asthma and the Environment,Flushing - Clearview,28.6
Asthma and the Environment,Bayside - Little Neck,19.3
Asthma and the Environment,Ridgewood - Forest Hills,43.8
Asthma and the Environment,Fresh Meadows,42.9
Asthma and the Environment,Southwest Queens,67.5
Asthma and the Environment,Jamaica,100.8
Asthma and the Environment,Southeast Queens,61.6
Asthma and the Environment,Rockaways,126
Asthma and the Environment,Port Richmond,148.4
Asthma and the Environment,Stapleton - St. George,111.4
Asthma and the Environment,Willowbrook,44.3
Asthma and the Environment,South Beach - Tottenville,34.5
Asthma and the Environment,Kingsbridge - Riverdale,78.3
Asthma and the Environment,Northeast Bronx,145.7
Asthma and the Environment,Fordham - Bronx Pk,182.1
Asthma and the Environment,Pelham - Throgs Neck,136.8
Asthma and the Environment,Crotona -Tremont,244.1
Asthma and the Environment,High Bridge - Morrisania,275.3
Asthma and the Environment,Hunts Point - Mott Haven,309.1
Asthma and the Environment,Greenpoint,65.8
Asthma and the Environment,Downtown - Heights - Slope,77.2
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,209.2
Asthma and the Environment,East New York,205.5
Asthma and the Environment,Sunset Park,49.8
Asthma and the Environment,Borough Park,27.5
Asthma and the Environment,East Flatbush - Flatbush,123.7
Asthma and the Environment,Canarsie - Flatlands,98.6
Asthma and the Environment,Bensonhurst - Bay Ridge,23.7
Asthma and the Environment,Coney Island - Sheepshead Bay,56.9
Asthma and the Environment,Williamsburg - Bushwick,206.8
Asthma and the Environment,Washington Heights,90.4
Asthma and the Environment,Central Harlem - Morningside Heights,269.4
Asthma and the Environment,East Harlem,317.4
Asthma and the Environment,Upper West Side,64.2
Asthma and the Environment,Upper East Side,20.3
Asthma and the Environment,Chelsea - Clinton,51
Asthma and the Environment,Gramercy Park - Murray Hill,43
Asthma and the Environment,Greenwich Village - SoHo,17.9
Asthma and the Environment,Union Square - Lower East Side,81.1
Asthma and the Environment,Lower Manhattan,60.6
Asthma and the Environment,Long Island City - Astoria,68.9
Asthma and the Environment,West Queens,41.2
Asthma and the Environment,Flushing - Clearview,24.6
Asthma and the Environment,Bayside - Little Neck,16.7
Asthma and the Environment,Ridgewood - Forest Hills,40.5
Asthma and the Environment,Fresh Meadows,40.6
Asthma and the Environment,Southwest Queens,50.4
Asthma and the Environment,Jamaica,88
Asthma and the Environment,Southeast Queens,57.7
Asthma and the Environment,Rockaways,119.9
Asthma and the Environment,Port Richmond,121
Asthma and the Environment,Stapleton - St. George,90.5
Asthma and the Environment,Willowbrook,32.1
Asthma and the Environment,South Beach - Tottenville,29
Asthma and the Environment,Kingsbridge - Riverdale,60.2
Asthma and the Environment,Northeast Bronx,125.7
Asthma and the Environment,Fordham - Bronx Pk,155.8
Asthma and the Environment,Pelham - Throgs Neck,112.1
Asthma and the Environment,Crotona -Tremont,224.2
Asthma and the Environment,High Bridge - Morrisania,235.8
Asthma and the Environment,Hunts Point - Mott Haven,256
Asthma and the Environment,Greenpoint,51.5
Asthma and the Environment,Downtown - Heights - Slope,71.3
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,175.2
Asthma and the Environment,East New York,183.1
Asthma and the Environment,Sunset Park,46.8
Asthma and the Environment,Borough Park,28.3
Asthma and the Environment,East Flatbush - Flatbush,117.5
Asthma and the Environment,Canarsie - Flatlands,84.2
Asthma and the Environment,Bensonhurst - Bay Ridge,20.9
Asthma and the Environment,Coney Island - Sheepshead Bay,47.3
Asthma and the Environment,Williamsburg - Bushwick,158.7
Asthma and the Environment,Washington Heights,75.3
Asthma and the Environment,Central Harlem - Morningside Heights,218.6
Asthma and the Environment,East Harlem,262.4
Asthma and the Environment,Upper West Side,56
Asthma and the Environment,Upper East Side,18
Asthma and the Environment,Chelsea - Clinton,52.2
Asthma and the Environment,Gramercy Park - Murray Hill,39.3
Asthma and the Environment,Greenwich Village - SoHo,14.3
Asthma and the Environment,Union Square - Lower East Side,78.8
Asthma and the Environment,Lower Manhattan,56.7
Asthma and the Environment,Long Island City - Astoria,51.3
Asthma and the Environment,West Queens,37.8
Asthma and the Environment,Flushing - Clearview,20.5
Asthma and the Environment,Bayside - Little Neck,14
Asthma and the Environment,Ridgewood - Forest Hills,32.9
Asthma and the Environment,Fresh Meadows,33.8
Asthma and the Environment,Southwest Queens,45.4
Asthma and the Environment,Jamaica,62.3
Asthma and the Environment,Southeast Queens,43.9
Asthma and the Environment,Rockaways,110.4
Asthma and the Environment,Port Richmond,135.3
Asthma and the Environment,Stapleton - St. George,95.5
Asthma and the Environment,Willowbrook,42.1
Asthma and the Environment,South Beach - Tottenville,26.6
Asthma and the Environment,Kingsbridge - Riverdale,18.9
Asthma and the Environment,Northeast Bronx,42.7
Asthma and the Environment,Fordham - Bronx Pk,51
Asthma and the Environment,Pelham - Throgs Neck,45.3
Asthma and the Environment,Crotona -Tremont,54.3
Asthma and the Environment,High Bridge - Morrisania,61.1
Asthma and the Environment,Hunts Point - Mott Haven,74.1
Asthma and the Environment,Greenpoint,18.3
Asthma and the Environment,Downtown - Heights - Slope,21.8
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,47.8
Asthma and the Environment,East New York,49.9
Asthma and the Environment,Sunset Park,7.2
Asthma and the Environment,Borough Park,5.7
Asthma and the Environment,East Flatbush - Flatbush,40.5
Asthma and the Environment,Canarsie - Flatlands,21.8
Asthma and the Environment,Bensonhurst - Bay Ridge,4.1
Asthma and the Environment,Coney Island - Sheepshead Bay,13
Asthma and the Environment,Williamsburg - Bushwick,77.2
Asthma and the Environment,Washington Heights,27.6
Asthma and the Environment,Central Harlem - Morningside Heights,78.4
Asthma and the Environment,East Harlem,91
Asthma and the Environment,Upper West Side,22.7
Asthma and the Environment,Upper East Side,8.6
Asthma and the Environment,Chelsea - Clinton,26.3
Asthma and the Environment,Gramercy Park - Murray Hill,15.3
Asthma and the Environment,Greenwich Village - SoHo,3.8
Asthma and the Environment,Union Square - Lower East Side,29.4
Asthma and the Environment,Lower Manhattan,19.5
Asthma and the Environment,Long Island City - Astoria,25.5
Asthma and the Environment,West Queens,19.7
Asthma and the Environment,Flushing - Clearview,14.3
Asthma and the Environment,Bayside - Little Neck,13.1
Asthma and the Environment,Ridgewood - Forest Hills,22.5
Asthma and the Environment,Fresh Meadows,14.3
Asthma and the Environment,Southwest Queens,18.8
Asthma and the Environment,Jamaica,28.9
Asthma and the Environment,Southeast Queens,24.5
Asthma and the Environment,Rockaways,51.2
Asthma and the Environment,Port Richmond,24.4
Asthma and the Environment,Stapleton - St. George,20.4
Asthma and the Environment,Willowbrook,11.9
Asthma and the Environment,South Beach - Tottenville,6.7
Asthma and the Environment,Kingsbridge - Riverdale,22.4
Asthma and the Environment,Northeast Bronx,39.9
Asthma and the Environment,Fordham - Bronx Pk,48.1
Asthma and the Environment,Pelham - Throgs Neck,48.4
Asthma and the Environment,Crotona -Tremont,55
Asthma and the Environment,High Bridge - Morrisania,57.6
Asthma and the Environment,Hunts Point - Mott Haven,71.1
Asthma and the Environment,Greenpoint,19.5
Asthma and the Environment,Downtown - Heights - Slope,24.1
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,63.7
Asthma and the Environment,East New York,46.4
Asthma and the Environment,Sunset Park,10.7
Asthma and the Environment,Borough Park,6.2
Asthma and the Environment,East Flatbush - Flatbush,41.6
Asthma and the Environment,Canarsie - Flatlands,22.7
Asthma and the Environment,Bensonhurst - Bay Ridge,4.4
Asthma and the Environment,Coney Island - Sheepshead Bay,9.4
Asthma and the Environment,Williamsburg - Bushwick,61.9
Asthma and the Environment,Washington Heights,24
Asthma and the Environment,Central Harlem - Morningside Heights,65.7
Asthma and the Environment,East Harlem,78.2
Asthma and the Environment,Upper West Side,25
Asthma and the Environment,Upper East Side,6.7
Asthma and the Environment,Chelsea - Clinton,13
Asthma and the Environment,Gramercy Park - Murray Hill,20.7
Asthma and the Environment,Greenwich Village - SoHo,11.4
Asthma and the Environment,Union Square - Lower East Side,31
Asthma and the Environment,Lower Manhattan,12.5
Asthma and the Environment,Long Island City - Astoria,20.5
Asthma and the Environment,West Queens,18.9
Asthma and the Environment,Flushing - Clearview,20.7
Asthma and the Environment,Bayside - Little Neck,14
Asthma and the Environment,Ridgewood - Forest Hills,21.2
Asthma and the Environment,Fresh Meadows,17.2
Asthma and the Environment,Southwest Queens,22.1
Asthma and the Environment,Jamaica,27.3
Asthma and the Environment,Southeast Queens,25.4
Asthma and the Environment,Rockaways,49.4
Asthma and the Environment,Port Richmond,24.5
Asthma and the Environment,Stapleton - St. George,24.4
Asthma and the Environment,Willowbrook,12.1
Asthma and the Environment,South Beach - Tottenville,8.1
Asthma and the Environment,Kingsbridge - Riverdale,21.7
Asthma and the Environment,Northeast Bronx,39.6
Asthma and the Environment,Fordham - Bronx Pk,54.9
Asthma and the Environment,Pelham - Throgs Neck,42.5
Asthma and the Environment,Crotona -Tremont,50
Asthma and the Environment,High Bridge - Morrisania,51.2
Asthma and the Environment,Hunts Point - Mott Haven,74
Asthma and the Environment,Greenpoint,20.7
Asthma and the Environment,Downtown - Heights - Slope,20.6
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,49.4
Asthma and the Environment,East New York,43.4
Asthma and the Environment,Sunset Park,12.7
Asthma and the Environment,Borough Park,5.3
Asthma and the Environment,East Flatbush - Flatbush,32.8
Asthma and the Environment,Canarsie - Flatlands,16.4
Asthma and the Environment,Bensonhurst - Bay Ridge,5.1
Asthma and the Environment,Coney Island - Sheepshead Bay,13.7
Asthma and the Environment,Williamsburg - Bushwick,57.7
Asthma and the Environment,Washington Heights,20.5
Asthma and the Environment,Central Harlem - Morningside Heights,68
Asthma and the Environment,East Harlem,85.9
Asthma and the Environment,Upper West Side,20.3
Asthma and the Environment,Upper East Side,7.7
Asthma and the Environment,Chelsea - Clinton,31.8
Asthma and the Environment,Gramercy Park - Murray Hill,18.6
Asthma and the Environment,Greenwich Village - SoHo,3.8
Asthma and the Environment,Union Square - Lower East Side,32.3
Asthma and the Environment,Lower Manhattan,3
Asthma and the Environment,Long Island City - Astoria,25.1
Asthma and the Environment,West Queens,16.9
Asthma and the Environment,Flushing - Clearview,14.5
Asthma and the Environment,Bayside - Little Neck,11.5
Asthma and the Environment,Ridgewood - Forest Hills,27.4
Asthma and the Environment,Fresh Meadows,16.5
Asthma and the Environment,Southwest Queens,20.7
Asthma and the Environment,Jamaica,25.4
Asthma and the Environment,Southeast Queens,25.6
Asthma and the Environment,Rockaways,47.6
Asthma and the Environment,Port Richmond,23
Asthma and the Environment,Stapleton - St. George,19.2
Asthma and the Environment,Willowbrook,10.8
Asthma and the Environment,South Beach - Tottenville,4.1
Asthma and the Environment,Kingsbridge - Riverdale,25
Asthma and the Environment,Northeast Bronx,43.5
Asthma and the Environment,Fordham - Bronx Pk,61
Asthma and the Environment,Pelham - Throgs Neck,46.5
Asthma and the Environment,Crotona -Tremont,57
Asthma and the Environment,High Bridge - Morrisania,53.7
Asthma and the Environment,Hunts Point - Mott Haven,68.1
Asthma and the Environment,Greenpoint,9.8
Asthma and the Environment,Downtown - Heights - Slope,21.6
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,50
Asthma and the Environment,East New York,46.8
Asthma and the Environment,Sunset Park,14.2
Asthma and the Environment,Borough Park,4.8
Asthma and the Environment,East Flatbush - Flatbush,28.2
Asthma and the Environment,Canarsie - Flatlands,16.5
Asthma and the Environment,Bensonhurst - Bay Ridge,5.3
Asthma and the Environment,Coney Island - Sheepshead Bay,9.6
Asthma and the Environment,Williamsburg - Bushwick,60.4
Asthma and the Environment,Washington Heights,21.1
Asthma and the Environment,Central Harlem - Morningside Heights,55.3
Asthma and the Environment,East Harlem,78.4
Asthma and the Environment,Upper West Side,16.1
Asthma and the Environment,Upper East Side,7
Asthma and the Environment,Chelsea - Clinton,20.1
Asthma and the Environment,Gramercy Park - Murray Hill,20.1
Asthma and the Environment,Greenwich Village - SoHo,1.9
Asthma and the Environment,Union Square - Lower East Side,27.4
Asthma and the Environment,Lower Manhattan,5.8
Asthma and the Environment,Long Island City - Astoria,20.8
Asthma and the Environment,West Queens,16.3
Asthma and the Environment,Flushing - Clearview,14.2
Asthma and the Environment,Bayside - Little Neck,8.1
Asthma and the Environment,Ridgewood - Forest Hills,20.6
Asthma and the Environment,Fresh Meadows,9.9
Asthma and the Environment,Southwest Queens,22.4
Asthma and the Environment,Jamaica,30
Asthma and the Environment,Southeast Queens,21.4
Asthma and the Environment,Rockaways,41
Asthma and the Environment,Port Richmond,13.1
Asthma and the Environment,Stapleton - St. George,15.8
Asthma and the Environment,Willowbrook,10.2
Asthma and the Environment,South Beach - Tottenville,6.3
Asthma and the Environment,Kingsbridge - Riverdale,25.8
Asthma and the Environment,Northeast Bronx,38.1
Asthma and the Environment,Fordham - Bronx Pk,70.2
Asthma and the Environment,Pelham - Throgs Neck,49.3
Asthma and the Environment,Crotona -Tremont,57.3
Asthma and the Environment,High Bridge - Morrisania,60.2
Asthma and the Environment,Hunts Point - Mott Haven,78.2
Asthma and the Environment,Greenpoint,17.1
Asthma and the Environment,Downtown - Heights - Slope,26.6
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,51.1
Asthma and the Environment,East New York,43.3
Asthma and the Environment,Sunset Park,13.6
Asthma and the Environment,Borough Park,6.6
Asthma and the Environment,East Flatbush - Flatbush,33.5
Asthma and the Environment,Canarsie - Flatlands,28.7
Asthma and the Environment,Bensonhurst - Bay Ridge,5.8
Asthma and the Environment,Coney Island - Sheepshead Bay,10.7
Asthma and the Environment,Williamsburg - Bushwick,60.6
Asthma and the Environment,Washington Heights,22.6
Asthma and the Environment,Central Harlem - Morningside Heights,69.1
Asthma and the Environment,East Harlem,67.6
Asthma and the Environment,Upper West Side,18.9
Asthma and the Environment,Upper East Side,8.9
Asthma and the Environment,Chelsea - Clinton,18.5
Asthma and the Environment,Gramercy Park - Murray Hill,7.2
Asthma and the Environment,Greenwich Village - SoHo,13.1
Asthma and the Environment,Union Square - Lower East Side,20.7
